组件条码,机台号,判定用时,返工组件？,结果上传时间,AI判定结果,复核后结果,外观判定结果(OK / NG),综合结果(OK/NG)
1692118,1,2,是,2019-12-01 10:58:44,NG,NG,OK,NG
1832478,1,1,是,2019-12-01 10:58:43,OK,NG,OK,NG
4229548,1,2,是,2019-12-01 10:58:41,OK,OK,OK,OK
3935570,1,2,是,2019-12-01 10:58:38,NG,OK,NG,NG
2622752,1,4,否,2019-12-01 10:58:35,OK,NG,OK,NG
5155507,1,1,否,2019-12-01 10:58:34,OK,OK,OK,OK
3355833,1,1,是,2019-12-01 10:58:31,OK,NG,NG,NG
4425677,1,3,是,2019-12-01 10:58:29,OK,OK,OK,OK
8487814,1,3,是,2019-12-01 10:58:27,OK,NG,OK,NG
4623214,1,5,是,2019-12-01 10:58:24,NG,NG,NG,NG
489718,1,5,是,2019-12-01 10:58:23,NG,OK,OK,OK
3963061,1,4,否,2019-12-01 10:58:20,NG,NG,NG,NG
9135332,1,4,否,2019-12-01 10:58:18,NG,OK,NG,NG
1612302,1,4,是,2019-12-01 10:58:15,NG,NG,NG,NG
6067753,1,5,否,2019-12-01 10:58:12,NG,OK,OK,OK
7505483,1,2,否,2019-12-01 10:58:11,NG,NG,NG,NG
750500,1,2,是,2019-12-01 10:58:10,OK,OK,NG,NG
4867087,1,3,否,2019-12-01 10:58:07,NG,OK,OK,OK
874253,1,3,是,2019-12-01 10:58:06,OK,OK,OK,OK
1248495,1,5,否,2019-12-01 10:58:05,OK,OK,NG,NG
